"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep3-n240-r32","geodesic",128,4.35899999999999,0.0160000000000053,1.467
"paraboloid-disk-rep3-n240-r32","geodesic",16,0.901,0.0150000000000006,2.568
"paraboloid-disk-rep3-n240-r32","geodesic",239,6.548,0.0170000000000101,1.53100000000001
"paraboloid-disk-rep3-n240-r32","geodesic",32,1.323,0.0160000000000018,2.018
"paraboloid-disk-rep3-n240-r32","geodesic",4,1.122,0.0179999999999998,7.039
"paraboloid-disk-rep3-n240-r32","geodesic",64,2.239,0.0160000000000053,1.519
"paraboloid-disk-rep3-n240-r32","geodesic",8,0.757,0.0199999999999996,3.616
"paraboloid-disk-rep3-n240-r4","ambient",128,4.48400000000001,0.0160000000000196,0.391999999999996
"paraboloid-disk-rep3-n240-r4","ambient",16,0.903999999999996,0.0160000000000196,0.451000000000022
"paraboloid-disk-rep3-n240-r4","ambient",239,6.94200000000001,0.0120000000000005,0.384000000000015
"paraboloid-disk-rep3-n240-r4","ambient",32,1.41399999999999,0.0159999999999911,0.449000000000012
"paraboloid-disk-rep3-n240-r4","ambient",4,0.588000000000022,0.0160000000000196,0.655000000000001
"paraboloid-disk-rep3-n240-r4","ambient",64,2.31,0.0150000000000148,0.448999999999984
"paraboloid-disk-rep3-n240-r4","ambient",8,0.691000000000003,0.0159999999999911,0.405000000000001
"paraboloid-disk-rep3-n240-r4","geodesic",128,3.936,0.0150000000000006,0.327000000000005
"paraboloid-disk-rep3-n240-r4","geodesic",16,0.794,0.0139999999999993,0.408
"paraboloid-disk-rep3-n240-r4","geodesic",239,6.07400000000001,0.0150000000000006,0.320999999999998
"paraboloid-disk-rep3-n240-r4","geodesic",32,1.238,0.0140000000000011,0.331999999999999
"paraboloid-disk-rep3-n240-r4","geodesic",4,0.622,0.0150000000000001,1.572
"paraboloid-disk-rep3-n240-r4","geodesic",64,2.202,0.0139999999999993,0.326
"paraboloid-disk-rep3-n240-r4","geodesic",8,0.602,0.0129999999999999,0.343999999999999
"paraboloid-disk-rep3-n240-r64","ambient",128,4.249,0.0160000000000196,1.41399999999999
"paraboloid-disk-rep3-n240-r64","ambient",16,0.914999999999992,0.0159999999999911,1.94800000000001
"paraboloid-disk-rep3-n240-r64","ambient",239,6.96699999999998,0.0109999999999673,1.416
"paraboloid-disk-rep3-n240-r64","ambient",32,1.334,0.0149999999999864,1.62199999999999
"paraboloid-disk-rep3-n240-r64","ambient",4,0.711999999999989,0.0160000000000196,3.20099999999999
"paraboloid-disk-rep3-n240-r64","ambient",64,2.256,0.0159999999999911,1.536
"paraboloid-disk-rep3-n240-r64","ambient",8,0.723000000000013,0.0160000000000196,2.21000000000001
"paraboloid-disk-rep3-n240-r64","geodesic",128,4.333,0.0150000000000006,2.214
"paraboloid-disk-rep3-n240-r64","geodesic",16,0.916,0.0160000000000018,1.917
"paraboloid-disk-rep3-n240-r64","geodesic",239,6.524,0.0170000000000101,2.248
"paraboloid-disk-rep3-n240-r64","geodesic",32,1.408,0.0200000000000031,2.353
"paraboloid-disk-rep3-n240-r64","geodesic",4,1.257,0.024,5.301
"paraboloid-disk-rep3-n240-r64","geodesic",64,2.323,0.017000000000003,2.309
"paraboloid-disk-rep3-n240-r64","geodesic",8,0.747,0.0150000000000006,2.172
"paraboloid-disk-rep3-n240-r8","ambient",128,4.44999999999999,0.0150000000000148,0.713999999999999
"paraboloid-disk-rep3-n240-r8","ambient",16,0.905000000000001,0.0160000000000196,0.596000000000004
"paraboloid-disk-rep3-n240-r8","ambient",239,6.71299999999999,0.0120000000000005,0.668000000000006
